Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",20.558685,128.762843,90.000000,top
"C1","100nF","C_0402_1005Metric",122.155686,57.131472,0.000000,top
"C1","100nF","C_0402_1005Metric",77.690085,128.762843,90.000000,top
"C1","100n","C_0603_1608Metric",74.930000,-31.623000,180.000000,top
"C1","100nF","C_0402_1005Metric",202.949770,128.762843,90.000000,top
"C1","100nF","C_0402_1005Metric",145.818370,128.762843,90.000000,top
"C2","10u","C_0805_2012Metric",115.316000,-28.956000,90.000000,top
"C2","100nF","C_0402_1005Metric",215.949770,128.762843,90.000000,top
"C2","100nF","C_0402_1005Metric",90.690085,128.762843,90.000000,top
"C2","100nF","C_0402_1005Metric",158.818370,128.762843,90.000000,top
"C2","100nF","C_0402_1005Metric",33.558685,128.762843,90.000000,top
"C2","100nF","C_0402_1005Metric",122.355686,103.231472,0.000000,top
"C3","1u","C_0603_1608Metric",86.868000,-20.574000,135.000000,top
"C3","100nF","C_0402_1005Metric",228.949770,128.762843,90.000000,top
"C3","100nF","C_0402_1005Metric",171.818370,128.762843,90.000000,top
"C3","100nF","C_0402_1005Metric",103.690085,128.762843,90.000000,top
"C3","100nF","C_0402_1005Metric",46.558685,128.762843,90.000000,top
"C4","100n","C_0603_1608Metric",8.509000,-14.351000,90.000000,top
"C4","100nF","C_0402_1005Metric",233.015455,114.697158,0.000000,top
"C4","100nF","C_0402_1005Metric",175.884055,114.697158,0.000000,top
"C4","100nF","C_0402_1005Metric",107.755770,114.697158,0.000000,top
"C4","100nF","C_0402_1005Metric",50.624370,114.697158,0.000000,top
"C5","100nF","C_0402_1005Metric",175.884055,101.697158,0.000000,top
"C5","100n","C_0603_1608Metric",8.509000,-24.003000,90.000000,top
"C5","100nF","C_0402_1005Metric",50.624370,101.697158,0.000000,top
"C5","100nF","C_0402_1005Metric",233.015455,101.697158,0.000000,top
"C5","100nF","C_0402_1005Metric",107.755770,101.697158,0.000000,top
"C6","100nF","C_0402_1005Metric",175.884055,88.697158,0.000000,top
"C6","100n","C_0603_1608Metric",8.509000,-33.909000,90.000000,top
"C6","100nF","C_0402_1005Metric",107.755770,88.697158,0.000000,top
"C6","100nF","C_0402_1005Metric",233.015455,88.697158,0.000000,top
"C6","100nF","C_0402_1005Metric",50.624370,88.697158,0.000000,top
"C7","100nF","C_0402_1005Metric",50.624370,68.565787,0.000000,top
"C7","100n","C_0603_1608Metric",191.262000,-4.953000,90.000000,top
"C7","100nF","C_0402_1005Metric",107.755770,68.565787,0.000000,top
"C7","100nF","C_0402_1005Metric",233.015455,68.565787,0.000000,top
"C7","100nF","C_0402_1005Metric",175.884055,68.565787,0.000000,top
"C8","100nF","C_0402_1005Metric",50.624370,55.565787,0.000000,top
"C8","6pF","C_0603_1608Metric",154.940000,-16.269000,-90.000000,top
"C8","100nF","C_0402_1005Metric",175.884055,55.565787,0.000000,top
"C8","100nF","C_0402_1005Metric",233.015455,55.565787,0.000000,top
"C8","100nF","C_0402_1005Metric",107.755770,55.565787,0.000000,top
"C9","100nF","C_0402_1005Metric",107.755770,42.565787,0.000000,top
"C9","100nF","C_0402_1005Metric",50.624370,42.565787,0.000000,top
"C9","6pF","C_0603_1608Metric",154.940000,-12.700000,90.000000,top
"C9","100nF","C_0402_1005Metric",233.015455,42.565787,0.000000,top
"C9","100nF","C_0402_1005Metric",175.884055,42.565787,0.000000,top
"C10","100nF","C_0402_1005Metric",161.818370,38.500101,-90.000000,top
"C10","100nF","C_0402_1005Metric",36.558685,38.500101,-90.000000,top
"C10","100nF","C_0402_1005Metric",93.690085,38.500101,-90.000000,top
"C10","100nF","C_0402_1005Metric",218.949770,38.500101,-90.000000,top
"C11","100nF","C_0402_1005Metric",23.558685,38.500101,-90.000000,top
"C11","100nF","C_0402_1005Metric",80.690085,38.500101,-90.000000,top
"C11","100nF","C_0402_1005Metric",148.818370,38.500101,-90.000000,top
"C11","100nF","C_0402_1005Metric",205.949770,38.500101,-90.000000,top
"C12","100nF","C_0402_1005Metric",135.818370,38.500101,-90.000000,top
"C12","100nF","C_0402_1005Metric",192.949770,38.500101,-90.000000,top
"C12","100nF","C_0402_1005Metric",10.558685,38.500101,-90.000000,top
"C12","100n","C_0603_1608Metric",103.759000,-23.241000,180.000000,top
"C12","100nF","C_0402_1005Metric",67.690085,38.500101,-90.000000,top
"C13","100nF","C_0402_1005Metric",131.752685,52.565786,180.000000,top
"C13","100nF","C_0402_1005Metric",63.624400,52.565786,180.000000,top
"C13","10u","C_0805_2012Metric",33.020000,-10.668000,0.000000,top
"C13","100nF","C_0402_1005Metric",6.493000,52.565786,180.000000,top
"C13","100nF","C_0402_1005Metric",188.884085,52.565786,180.000000,top
"C14","100nF","C_0402_1005Metric",63.624400,65.565786,180.000000,top
"C14","10u","C_0805_2012Metric",103.759000,-25.146000,180.000000,top
"C14","100nF","C_0402_1005Metric",188.884085,65.565786,180.000000,top
"C14","100nF","C_0402_1005Metric",131.752685,65.565786,180.000000,top
"C14","100nF","C_0402_1005Metric",6.493000,65.565786,180.000000,top
"C15","100nF","C_0402_1005Metric",6.493000,78.565786,180.000000,top
"C15","100nF","C_0402_1005Metric",188.884085,78.565786,180.000000,top
"C15","100nF","C_0402_1005Metric",131.752685,78.565786,180.000000,top
"C15","100nF","C_0402_1005Metric",63.624400,78.565786,180.000000,top
"C16","100nF","C_0402_1005Metric",63.624400,98.697158,180.000000,top
"C16","100nF","C_0402_1005Metric",6.493000,98.697158,180.000000,top
"C16","100nF","C_0402_1005Metric",188.884085,98.697158,180.000000,top
"C16","100n","C_0603_1608Metric",29.464000,-10.922000,180.000000,top
"C16","100nF","C_0402_1005Metric",131.752685,98.697158,180.000000,top
"C17","100nF","C_0402_1005Metric",188.884085,111.697158,180.000000,top
"C17","100nF","C_0402_1005Metric",6.493000,111.697158,180.000000,top
"C17","100nF","C_0402_1005Metric",131.752685,111.697158,180.000000,top
"C17","100nF","C_0402_1005Metric",63.624400,111.697158,180.000000,top
"C18","100n","C_0603_1608Metric",152.400000,-19.050000,-90.000000,top
"C18","100nF","C_0402_1005Metric",63.624400,124.697158,180.000000,top
"C18","100nF","C_0402_1005Metric",6.493000,124.697158,180.000000,top
"C18","100nF","C_0402_1005Metric",188.884085,124.697158,180.000000,top
"C18","100nF","C_0402_1005Metric",131.752685,124.697158,180.000000,top
"C19","100nF","C_0402_1005Metric",20.558685,82.631472,90.000000,top
"C19","100nF","C_0402_1005Metric",145.818370,82.631472,90.000000,top
"C19","100nF","C_0402_1005Metric",202.949770,82.631472,90.000000,top
"C19","100nF","C_0402_1005Metric",77.690085,82.631472,90.000000,top
"C20","100nF","C_0402_1005Metric",90.690085,82.631472,90.000000,top
"C20","100nF","C_0402_1005Metric",215.949770,82.631472,90.000000,top
"C20","100nF","C_0402_1005Metric",33.558685,82.631472,90.000000,top
"C20","100nF","C_0402_1005Metric",158.818370,82.631472,90.000000,top
"C21","100nF","C_0402_1005Metric",171.818370,82.631472,90.000000,top
"C21","100nF","C_0402_1005Metric",103.690085,82.631472,90.000000,top
"C21","100nF","C_0402_1005Metric",46.558685,82.631472,90.000000,top
"C21","100nF","C_0402_1005Metric",228.949770,82.631472,90.000000,top
"C22","10uF","C_0603_1608Metric",206.894770,20.431472,180.000000,top
"C22","10uF","C_0603_1608Metric",24.503685,20.431472,180.000000,top
"C22","10uF","C_0603_1608Metric",81.635085,20.431472,180.000000,top
"C22","10uF","C_0603_1608Metric",149.763370,20.431472,180.000000,top
"C22","10uF","C_0603_1608Metric",115.700686,20.431472,180.000000,top
"D1","B5819W","D_SOD-123",214.376000,-13.462000,-90.000000,top
"D1","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",72.690085,129.762843,180.000000,top
"D1","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",197.949770,129.762843,180.000000,top
"D1","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",119.755686,60.565786,180.000000,top
"D1","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",140.818370,129.762843,180.000000,top
"D1","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",15.558685,129.762843,180.000000,top
"D2","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",28.558685,129.762843,180.000000,top
"D2","B5819W","D_SOD-123",113.030000,-28.702000,90.000000,top
"D2","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",210.949770,129.762843,180.000000,top
"D2","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",119.755686,106.697158,180.000000,top
"D2","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",85.690085,129.762843,180.000000,top
"D2","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",153.818370,129.762843,180.000000,top
"D3","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",98.690085,129.762843,180.000000,top
"D3","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",41.558685,129.762843,180.000000,top
