"Id";"Označení";"Pouzdro";"Počet";"Označení";"Tisk rohového razítka";
1;"mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot,mouse-bite-2mm-slot";"mouse-bite-2mm-slot-edgecuts";26;"VAL**";;;
2;"Q3,Q2";"SOT-23";2;"S8050";;;
3;"C13,C14,C2";"C_0805_2012Metric";3;"10u";;;
4;"C4,C7,C5,C16,C6,C12,C1,C18";"C_0603_1608Metric";8;"100n";;;
5;"R1,R15,R17,R16,R13,R2";"R_0603_1608Metric";6;"10K";;;
6;"R14,R12";"R_LDR_5.1x4.3mm_P3.4mm_Vertical";2;"R_Photo";;;
7;"J4,J1,J3,J5,J2";"PinHeader_2x04_P2.54mm_Vertical";5;"Conn_02x04_Odd_Even";;;
8;"H3,H5,H6,H4,H1,H2";"MountingHole_3.2mm_M3";6;"MountingHole";;;
9;"R4,R5,R7,R6";"R_0603_1608Metric";4;"5K1";;;
10;"D1,D2";"D_SOD-123";2;"B5819W";;;
11;"Q1,Q4";"SOT-23";2;"2N7002";;;
12;"U4";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
13;"BZ1";"Buzzer_12x9.5RM7.6";1;"Buzzer";;;
14;"C10";"CP_Radial_D6.3mm_P2.50mm";1;"Supercap";;;
15;"J8";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
16;"C3";"C_0603_1608Metric";1;"1u";;;
17;"R10,R11";"R_0603_1608Metric";2;"12K";;;
18;"G3,G1,G1,G1,G1";"Vedatori_15mm";5;"Vedatori_logo";;;
19;"C8,C9";"C_0603_1608Metric";2;"6pF";;;
20;"Y1";"Crystal_DS26_D2.0mm_L6.0mm_Horizontal_1EP_style2";1;"Crystal_GND2";;;
21;"G1";"Coufal_elektronika_text_30x13mm";1;"CoufalElektronika_logo";;;
22;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"DS1302ZN+";;;
23;"R8,R9";"R_0603_1608Metric";2;"470R";;;
24;"J7";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"918-418K2023S40001";;;
25;"J6,J1";"PinHeader_1x06_P2.54mm_Vertical";2;"Conn_01x06_Male";;;
26;"SW1,SW2,SW3";"SW_Tactile_SPST_Angled_PTS645Vx83-2LFS";3;"SW_SPST";;;
27;"R3";"R_0603_1608Metric";1;"4K7";;;
28;"U2";"TO-92_HandSolder";1;"DS18B20";;;
29;"C11,C19";"CP_Radial_D5.0mm_P2.00mm";2;"100u";;;
30;"U5";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340G";;;
31;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM-32D";;;
32;"G2";"Vedatori_copper_exposed_15mm";1;"Vedatori_logo";;;
33;"C17,C19,C2,C3,C17,C11,C3,C18,C10,C13,C16,C21,C18,C8,C1,C12,C9,C17,C14,C19,C4,C19,C15,C18,C1,C15,C14,C13,C16,C14,C11,C10,C2,C11,C1,C15,C20,C8,C19,C2,C12,C4,C3,C6,C6,C20,C9,C5,C20,C10,C11,C7,C16,C13,C16,C18,C15,C5,C3,C12,C4,C2,C9,C6,C6,C1,C20,C4,C21,C8,C1,C17,C8,C7,C7,C14,C21,C5,C2,C7,C21,C12,C13,C9,C10,C5";"C_0402_1005Metric";86;"100nF";;;
34;"D19,D7,D21,D2,D15,D20,D11,D7,D6,D5,D1,D12,D16,D1,D11,D9,D15,D20,D14,D2,D12,D8,D8,D6,D4,D16,D9,D9,D17,D10,D8,D6,D12,D2,D17,D10,D19,D18,D7,D3,D21,D20,D1,D18,D3,D2,D5,D16,D4,D11,D21,D17,D19,D14,D13,D7,D1,D4,D18,D15,D18,D19,D4,D21,D3,D5,D13,D10,D20,D8,D14,D12,D11,D2,D17,D5,D6,D14,D13,D1,D10,D3,D9,D13,D16,D15";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";86;"WS2812E";;;
35;"J1,J1,J1,J1,J1";"PinSocket_2x04_P2.54mm_Horizontal";5;"Conn_02x04_Odd_Even";;;
36;"H1,H4,H4,H4,H1,H4,H2,H4,H3,H1,H1,H3,H2,H1,H3,H3,H2,H2,H3,H2";"MountingHole_3.2mm_M3_Pad_Via";20;"MountingHole";;;
37;"R1,R1,R1,R1,R1";"R_0603_1608Metric";5;"75R";;;
38;"C22,C22,C22,C22,C22";"C_0603_1608Metric";5;"10uF";;;
39;"G2,G2,G2,G2,G2";"Coufal_elektronika_notext_10mm";5;"CoufalElektronika_logo";;;
