Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",162.139685,-22.218629,90.000000,top
"C1","100nF","C_0402_1005Metric",219.271085,-22.218629,90.000000,top
"C1","100nF","C_0402_1005Metric",94.011400,-22.218629,90.000000,top
"C1","100nF","C_0402_1005Metric",138.477001,-93.850000,0.000000,top
"C1","100nF","C_0402_1005Metric",36.880000,-22.218629,90.000000,top
"C2","100nF","C_0402_1005Metric",232.271085,-22.218629,90.000000,top
"C2","100nF","C_0402_1005Metric",49.880000,-22.218629,90.000000,top
"C2","100nF","C_0402_1005Metric",138.677001,-47.750000,0.000000,top
"C2","100nF","C_0402_1005Metric",175.139685,-22.218629,90.000000,top
"C2","100nF","C_0402_1005Metric",107.011400,-22.218629,90.000000,top
"C3","100nF","C_0402_1005Metric",120.011400,-22.218629,90.000000,top
"C3","100nF","C_0402_1005Metric",188.139685,-22.218629,90.000000,top
"C3","100nF","C_0402_1005Metric",62.880000,-22.218629,90.000000,top
"C3","100nF","C_0402_1005Metric",245.271085,-22.218629,90.000000,top
"C4","100nF","C_0402_1005Metric",124.077085,-36.284314,0.000000,top
"C4","100nF","C_0402_1005Metric",192.205370,-36.284314,0.000000,top
"C4","100nF","C_0402_1005Metric",66.945685,-36.284314,0.000000,top
"C4","100nF","C_0402_1005Metric",249.336770,-36.284314,0.000000,top
"C5","100nF","C_0402_1005Metric",249.336770,-49.284314,0.000000,top
"C5","100nF","C_0402_1005Metric",124.077085,-49.284314,0.000000,top
"C5","100nF","C_0402_1005Metric",192.205370,-49.284314,0.000000,top
"C5","100nF","C_0402_1005Metric",66.945685,-49.284314,0.000000,top
"C6","100nF","C_0402_1005Metric",124.077085,-62.284314,0.000000,top
"C6","100nF","C_0402_1005Metric",249.336770,-62.284314,0.000000,top
"C6","100nF","C_0402_1005Metric",192.205370,-62.284314,0.000000,top
"C6","100nF","C_0402_1005Metric",66.945685,-62.284314,0.000000,top
"C7","100nF","C_0402_1005Metric",192.205370,-82.415685,0.000000,top
"C7","100nF","C_0402_1005Metric",66.945685,-82.415685,0.000000,top
"C7","100nF","C_0402_1005Metric",124.077085,-82.415685,0.000000,top
"C7","100nF","C_0402_1005Metric",249.336770,-82.415685,0.000000,top
"C8","100nF","C_0402_1005Metric",124.077085,-95.415685,0.000000,top
"C8","100nF","C_0402_1005Metric",249.336770,-95.415685,0.000000,top
"C8","100nF","C_0402_1005Metric",192.205370,-95.415685,0.000000,top
"C8","100nF","C_0402_1005Metric",66.945685,-95.415685,0.000000,top
"C9","100nF","C_0402_1005Metric",66.945685,-108.415685,0.000000,top
"C9","100nF","C_0402_1005Metric",124.077085,-108.415685,0.000000,top
"C9","100nF","C_0402_1005Metric",249.336770,-108.415685,0.000000,top
"C9","100nF","C_0402_1005Metric",192.205370,-108.415685,0.000000,top
"C10","100nF","C_0402_1005Metric",52.880000,-112.481371,-90.000000,top
"C10","100nF","C_0402_1005Metric",235.271085,-112.481371,-90.000000,top
"C10","100nF","C_0402_1005Metric",110.011400,-112.481371,-90.000000,top
"C10","100nF","C_0402_1005Metric",178.139685,-112.481371,-90.000000,top
"C11","100nF","C_0402_1005Metric",165.139685,-112.481371,-90.000000,top
"C11","100nF","C_0402_1005Metric",222.271085,-112.481371,-90.000000,top
"C11","100nF","C_0402_1005Metric",39.880000,-112.481371,-90.000000,top
"C11","100nF","C_0402_1005Metric",97.011400,-112.481371,-90.000000,top
"C12","100nF","C_0402_1005Metric",209.271085,-112.481371,-90.000000,top
"C12","100nF","C_0402_1005Metric",84.011400,-112.481371,-90.000000,top
"C12","100nF","C_0402_1005Metric",152.139685,-112.481371,-90.000000,top
"C12","100nF","C_0402_1005Metric",26.880000,-112.481371,-90.000000,top
"C13","100nF","C_0402_1005Metric",22.814315,-98.415686,180.000000,top
"C13","100nF","C_0402_1005Metric",79.945715,-98.415686,180.000000,top
"C13","100nF","C_0402_1005Metric",148.074000,-98.415686,180.000000,top
"C13","100nF","C_0402_1005Metric",205.205400,-98.415686,180.000000,top
"C14","100nF","C_0402_1005Metric",148.074000,-85.415686,180.000000,top
"C14","100nF","C_0402_1005Metric",79.945715,-85.415686,180.000000,top
"C14","100nF","C_0402_1005Metric",205.205400,-85.415686,180.000000,top
"C14","100nF","C_0402_1005Metric",22.814315,-85.415686,180.000000,top
"C15","100nF","C_0402_1005Metric",148.074000,-72.415686,180.000000,top
"C15","100nF","C_0402_1005Metric",205.205400,-72.415686,180.000000,top
"C15","100nF","C_0402_1005Metric",22.814315,-72.415686,180.000000,top
"C15","100nF","C_0402_1005Metric",79.945715,-72.415686,180.000000,top
"C16","100nF","C_0402_1005Metric",205.205400,-52.284314,180.000000,top
"C16","100nF","C_0402_1005Metric",22.814315,-52.284314,180.000000,top
"C16","100nF","C_0402_1005Metric",79.945715,-52.284314,180.000000,top
"C16","100nF","C_0402_1005Metric",148.074000,-52.284314,180.000000,top
"C17","100nF","C_0402_1005Metric",205.205400,-39.284314,180.000000,top
"C17","100nF","C_0402_1005Metric",22.814315,-39.284314,180.000000,top
"C17","100nF","C_0402_1005Metric",148.074000,-39.284314,180.000000,top
"C17","100nF","C_0402_1005Metric",79.945715,-39.284314,180.000000,top
"C18","100nF","C_0402_1005Metric",148.074000,-26.284314,180.000000,top
"C18","100nF","C_0402_1005Metric",22.814315,-26.284314,180.000000,top
"C18","100nF","C_0402_1005Metric",79.945715,-26.284314,180.000000,top
"C18","100nF","C_0402_1005Metric",205.205400,-26.284314,180.000000,top
"C19","100nF","C_0402_1005Metric",162.139685,-68.350000,90.000000,top
"C19","100nF","C_0402_1005Metric",94.011400,-68.350000,90.000000,top
"C19","100nF","C_0402_1005Metric",36.880000,-68.350000,90.000000,top
"C19","100nF","C_0402_1005Metric",219.271085,-68.350000,90.000000,top
"C20","100nF","C_0402_1005Metric",49.880000,-68.350000,90.000000,top
"C20","100nF","C_0402_1005Metric",232.271085,-68.350000,90.000000,top
"C20","100nF","C_0402_1005Metric",175.139685,-68.350000,90.000000,top
"C20","100nF","C_0402_1005Metric",107.011400,-68.350000,90.000000,top
"C21","100nF","C_0402_1005Metric",245.271085,-68.350000,90.000000,top
"C21","100nF","C_0402_1005Metric",120.011400,-68.350000,90.000000,top
"C21","100nF","C_0402_1005Metric",62.880000,-68.350000,90.000000,top
"C21","100nF","C_0402_1005Metric",188.139685,-68.350000,90.000000,top
"C22","10uF","C_0603_1608Metric",166.084685,-130.550000,180.000000,top
"C22","10uF","C_0603_1608Metric",97.956400,-130.550000,180.000000,top
"C22","10uF","C_0603_1608Metric",223.216085,-130.550000,180.000000,top
"C22","10uF","C_0603_1608Metric",40.825000,-130.550000,180.000000,top
"C22","10uF","C_0603_1608Metric",132.022001,-130.550000,180.000000,top
"D1","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",136.077001,-90.415686,180.000000,top
"D1","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",157.139685,-21.218629,180.000000,top
"D1","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",89.011400,-21.218629,180.000000,top
"D1","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",31.880000,-21.218629,180.000000,top
"D1","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",214.271085,-21.218629,180.000000,top
"D2","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",170.139685,-21.218629,180.000000,top
"D2","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",44.880000,-21.218629,180.000000,top
"D2","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",227.271085,-21.218629,180.000000,top
"D2","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",102.011400,-21.218629,180.000000,top
"D2","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",136.077001,-44.284314,180.000000,top
"D3","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",183.139685,-21.218629,180.000000,top
"D3","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",115.011400,-21.218629,180.000000,top
"D3","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",240.271085,-21.218629,180.000000,top
"D3","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",57.880000,-21.218629,180.000000,top
"D4","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",125.077085,-31.284314,90.000000,top
"D4","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",193.205370,-31.284314,90.000000,top
"D4","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",67.945685,-31.284314,90.000000,top
"D4","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",250.336770,-31.284314,90.000000,top
"D5","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",250.336770,-44.284314,90.000000,top
"D5","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",193.205370,-44.284314,90.000000,top
"D5","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",125.077085,-44.284314,90.000000,top
"D5","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",67.945685,-44.284314,90.000000,top
"D6","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",193.205370,-57.284314,90.000000,top
"D6","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",250.336770,-57.284314,90.000000,top
"D6","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",125.077085,-57.284314,90.000000,top
"D6","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",67.945685,-57.284314,90.000000,top
"D7","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",125.077085,-77.415685,90.000000,top
"D7","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",193.205370,-77.415685,90.000000,top
"D7","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",67.945685,-77.415685,90.000000,top
"D7","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",250.336770,-77.415685,90.000000,top
"D8","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",125.077085,-90.415685,90.000000,top
"D8","WS2812E","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",250.336770,-90.415685,90.000000,top
